memory1,compute1,memory2,compute2,memory3,compute3,startup_time,load,throughput,latency
6,10,4,10,4,10,70451.045,4,1.527,2067.367
6,10,4,10,4,10,70451.045,8,2.148,3330.829
6,10,4,10,4,10,70451.045,16,2.37,6017.879
6,10,4,10,4,10,70451.045,32,2.465,12485.907
6,10,4,10,4,10,70451.045,64,2.458,25304.704
6,10,4,10,4,10,70451.045,128,2.426,41715.969
6,10,4,10,4,20,75325.368,2,1.103,1612.189
6,10,4,10,4,20,75325.368,4,1.324,2115.216
6,10,4,10,4,20,75325.368,8,1.766,3748.71
6,10,4,10,4,20,75325.368,16,1.938,6518.657
6,10,4,10,4,20,75325.368,32,2.305,12229.036
6,10,4,10,4,20,75325.368,64,2.009,26202.014
6,10,4,10,4,20,75325.368,128,2.308,40004.433
6,20,4,20,4,20,77620.129,2,1.785,964.945
6,20,4,20,4,20,77620.129,4,2.201,1438.636
6,20,4,20,4,20,77620.129,8,2.828,2607.612
6,20,4,20,4,20,77620.129,16,3.171,4592.517
6,20,4,20,4,20,77620.129,32,3.533,8264.158
6,20,4,20,4,20,77620.129,64,3.399,17464.801
6,20,4,20,4,20,77620.129,128,3.06,31898.345
6,30,4,30,4,20,75848.056,2,1.649,1160.489
6,30,4,30,4,20,75848.056,4,2.33,1513.64
6,30,4,30,4,20,75848.056,8,2.832,2367.646
6,30,4,30,4,20,75848.056,16,3.603,4117.675
6,30,4,30,4,20,75848.056,32,3.867,7495.07
6,30,4,30,4,20,75848.056,64,3.262,16584.748
6,30,4,30,4,20,75848.056,128,3.728,25766.446
6,40,4,30,4,30,69628.936,2,1.521,1262.337
6,40,4,30,4,30,69628.936,4,2.202,1537.619
6,40,4,30,4,30,69628.936,8,2.937,2268.222
6,40,4,30,4,30,69628.936,16,3.447,3879.513
6,40,4,30,4,30,69628.936,32,3.489,7349.695
6,40,4,30,4,30,69628.936,64,4.102,13504.088
6,40,4,30,4,30,69628.936,128,3.797,24257.471
