memory,compute,startup_time,load,throughput,latency
6,100,42279.791,2,1.045,1911.935
6,100,42279.791,4,1.281,3116.679
6,100,42279.791,8,1.502,5252.282
6,100,42279.791,16,1.621,9852.675
6,100,42279.791,32,1.566,20386.439
6,100,42279.791,64,1.575,30801.478
6,100,42279.791,128,1.367,57590.069
8,10,65200.952,1,0.522,1913.662
8,10,65200.952,2,0.709,2819.485
8,10,65200.952,4,0.795,5023.521
8,10,65200.952,8,0.857,9255.95
8,10,65200.952,16,0.875,18269.147
8,10,65200.952,32,0.873,36622.594
8,10,65200.952,64,0.863,55562.301
8,10,65200.952,128,0.874,91687.474
8,20,100727.031,1,0.763,1310.543
8,20,100727.031,2,0.992,2012.961
8,20,100727.031,4,1.204,3316.443
8,20,100727.031,8,1.304,6126.994
8,20,100727.031,16,1.252,12757.608
8,20,100727.031,32,1.258,25396.114
8,20,100727.031,64,1.25,37970.659
8,20,100727.031,128,1.178,67920.996
8,40,62498.91,1,0.761,1313.074
8,40,62498.91,2,1.166,1713.508
8,40,62498.91,4,1.528,2613.818
8,40,62498.91,8,1.654,4826.328
8,40,62498.91,16,1.529,10448.07
8,40,62498.91,32,1.469,21716.918
8,40,62498.91,64,1.362,35055.336
8,40,62498.91,128,1.047,79123.707
8,60,43785.724,1,0.762,1310.796
8,60,43785.724,2,1.103,1810.954
8,60,43785.724,4,1.419,2815.595
8,60,43785.724,8,1.655,4825.185
8,60,43785.724,16,0.959,16662.356
8,60,43785.724,32,1.248,25599.82
8,60,43785.724,64,1.367,35288.327
8,60,43785.724,128,1.265,66933.375
8,80,45318.551,1,0.662,1510.807
8,80,45318.551,2,0.902,2215.661
8,80,45318.551,4,0.993,4021.82
8,80,45318.551,8,1.105,7231.064
8,80,45318.551,16,1.17,13631.849
8,80,45318.551,32,1.215,26292.289
8,80,45318.551,64,1.087,46036.748
8,80,45318.551,128,1.2,72599.441
8,100,47067.372,1,0.584,1710.866
8,100,47067.372,2,0.735,2718.544
8,100,47067.372,4,0.847,4720.31
8,100,47067.372,8,0.982,8133.924
8,100,47067.372,16,1.02,15660.053
8,100,47067.372,32,1.054,30311.996
8,100,47067.372,64,1.269,39676.158
8,100,47067.372,128,1.305,62971.019
10,10,50257.66,1,0.552,1810.57
10,10,50257.66,2,0.709,2817.942
10,10,50257.66,4,0.828,4821.844
10,10,50257.66,8,0.896,8848.744
10,10,50257.66,16,0.927,17176.942
10,10,50257.66,32,0.885,36120.144
10,10,50257.66,64,0.891,53900.938
10,10,50257.66,128,0.883,90433.467
10,20,102603.308,1,0.62,1611.031
10,20,102603.308,2,0.794,2516.432
10,20,102603.308,4,0.968,4126.19
