memory,compute,startup_time,load,throughput,latency
12,20,43444.836,8,0.958,8339.256
12,20,43444.836,16,0.942,16964.635
12,20,43444.836,32,0.94,33975.276
12,20,43444.836,64,0.93,51625.438
12,20,43444.836,128,0.914,87265.832
12,40,44870.456,1,0.552,1809.289
12,40,44870.456,2,0.829,2411.096
12,40,44870.456,4,0.675,5922.45
12,40,44870.456,8,0.717,11141.891
12,40,44870.456,16,0.759,21073.577
12,40,44870.456,32,0.845,37832.717
12,40,44870.456,64,0.878,55969.373
12,40,44870.456,128,0.876,92386.32
12,60,44190.015,1,0.659,1515.541
12,60,44190.015,2,0.947,2110.386
12,60,44190.015,4,0.994,4018.737
12,60,44190.015,8,1.09,7330.237
12,60,44190.015,16,1.113,14356.789
12,60,44190.015,32,1.061,30112.231
12,60,44190.015,64,1.064,44935.022
12,60,44190.015,128,0.908,91941.774
12,80,43233.68,1,0.71,1408.53
12,80,43233.68,2,0.903,2211.576
12,80,43233.68,4,1.135,3520.397
12,80,43233.68,8,1.205,6631.758
12,80,43233.68,16,1.001,15966.934
12,80,43233.68,32,0.873,36590.693
12,80,43233.68,64,0.999,48664.951
12,80,43233.68,128,1.028,77815.49
12,100,43821.534,1,0.473,2112.276
12,100,43821.534,2,0.622,3215.808
12,100,43821.534,4,0.674,5928.703
12,100,43821.534,8,0.758,10538.847
12,100,43821.534,16,0.762,20966.721
12,100,43821.534,32,0.791,40426.447
12,100,43821.534,64,0.928,51720.253
12,100,43821.534,128,0.929,89791.724
14,10,46268.307,1,0.474,2110.152
14,10,46268.307,2,0.585,3415.569
14,10,46268.307,4,0.664,6022.233
14,10,46268.307,8,0.711,11242.674
14,10,46268.307,16,0.696,22977.307
14,10,46268.307,32,0.641,49846.001
14,10,46268.307,64,0.663,73020.389
14,10,46268.307,128,0.645,126509.32
14,20,45119.358,1,0.523,1909.63
14,20,45119.358,2,0.685,2916.005
14,20,45119.358,4,0.642,6227.282
14,20,45119.358,8,0.681,11740.936
14,20,45119.358,16,0.721,22172.799
14,20,45119.358,32,0.939,34022.064
14,20,45119.358,64,0.923,52030.727
14,20,45119.358,128,0.902,88552.137
14,40,42464.639,1,0.662,1508.767
14,40,42464.639,2,0.994,2010.493
