memory,compute,startup_time,load,throughput,latency
12,80,39304.139,3,2.045,1432.513
12,80,39304.139,4,1.807,2173.247
12,80,39304.139,5,0.836,5942.927
12,80,39304.139,6,0.753,7876.42
12,80,39304.139,7,0.793,8781.513
12,80,39304.139,8,0.793,10007.297
12,80,39304.139,9,0.796,11190.137
12,80,39304.139,10,0.784,12636.0
12,100,42790.446,1,1.232,810.922
12,100,42790.446,2,1.862,1045.422
12,100,42790.446,3,1.661,1680.364
12,100,42790.446,4,1.797,2192.419
12,100,42790.446,5,0.841,5906.291
12,100,42790.446,6,0.808,7320.117
12,100,42790.446,7,0.806,8602.533
12,100,42790.446,8,0.799,9925.955
12,100,42790.446,9,0.79,11291.043
12,100,42790.446,10,0.759,13012.321
14,10,38096.874,1,1.432,697.48
14,10,38096.874,2,1.234,1540.685
14,10,38096.874,3,1.766,1598.002
14,10,38096.874,4,1.701,2216.105
14,10,38096.874,5,0.847,5873.053
14,10,38096.874,6,0.81,7315.585
14,10,38096.874,7,0.816,8495.833
14,10,38096.874,8,0.815,9710.745
14,10,38096.874,9,0.793,11149.271
14,10,38096.874,10,0.779,12690.023
14,20,37737.804,1,1.454,686.957
14,20,37737.804,2,1.99,991.217
14,20,37737.804,3,1.453,1840.291
14,20,37737.804,4,1.447,2711.038
14,20,37737.804,5,0.861,5760.865
14,20,37737.804,6,0.791,7524.08
14,20,37737.804,7,0.765,9043.599
14,20,37737.804,8,0.796,9958.538
14,20,37737.804,9,0.782,11397.942
14,20,37737.804,10,0.781,12612.392
14,40,40194.582,1,1.093,914.526
14,40,40194.582,2,1.461,1338.117
14,40,40194.582,3,1.371,1961.768
14,40,40194.582,4,1.429,2682.355
14,40,40194.582,5,0.83,5948.443
14,40,40194.582,6,0.793,7480.961
14,40,40194.582,7,0.771,8969.456
14,40,40194.582,8,0.782,10102.247
14,40,40194.582,9,0.777,11388.783
14,40,40194.582,10,0.785,12593.548
14,60,39632.616,1,1.412,707.61
14,60,39632.616,2,1.589,1211.621
14,60,39632.616,3,1.601,1783.236
14,60,39632.616,4,1.532,2455.176
