request_id,taskid,deadline,accuracy,requestsize,registrationts,deployts,executionts,responsets,node,variant,instance,state,error,totaltime,accuracy
c7793e2a-531b-45a4-8b62-4361ae178446,text-summarization,60000,80,1,2024-06-21T21:58:55+05:30,0001-01-01T00:00:00Z,2024-06-21T21:58:56+05:30,2024-06-21T21:59:04+05:30,,v2dafa70f-0b33-41ef-9f12-a5f78b2c9454,http://10.110.175.88:49152/summarize,completed,None,9285,85
d86b6708-703b-42f8-a3d2-7902d2e74263,text-summarization,60000,80,1,2024-06-21T21:58:53+05:30,0001-01-01T00:00:00Z,2024-06-21T21:58:56+05:30,2024-06-21T21:59:04+05:30,,v2dafa70f-0b33-41ef-9f12-a5f78b2c9454,http://10.110.175.88:49152/summarize,completed,None,11314,85
923abc46-744c-4795-b594-897a02ab296d,text-summarization,60000,80,1,2024-06-21T21:58:52+05:30,0001-01-01T00:00:00Z,2024-06-21T21:58:56+05:30,2024-06-21T21:59:04+05:30,,v2dafa70f-0b33-41ef-9f12-a5f78b2c9454,http://10.110.175.88:49152/summarize,completed,None,12330,85
047e5f6e-0b29-4e08-97f5-9d56d8aeeb0c,text-summarization,60000,80,1,2024-06-21T21:58:56+05:30,0001-01-01T00:00:00Z,2024-06-21T21:59:01+05:30,2024-06-21T21:59:09+05:30,,v2dafa70f-0b33-41ef-9f12-a5f78b2c9454,http://10.110.175.88:49152/summarize,completed,None,12576,85
15762405-8222-4864-8b5e-5a045c654c87,text-summarization,60000,80,1,2024-06-21T21:58:57+05:30,0001-01-01T00:00:00Z,2024-06-21T21:59:01+05:30,2024-06-21T21:59:09+05:30,,v2dafa70f-0b33-41ef-9f12-a5f78b2c9454,http://10.110.175.88:49152/summarize,completed,None,11561,85
3791f755-98e1-4751-9567-236447caff23,text-summarization,60000,80,1,2024-06-21T21:58:58+05:30,0001-01-01T00:00:00Z,2024-06-21T21:59:01+05:30,2024-06-21T21:59:09+05:30,,v2dafa70f-0b33-41ef-9f12-a5f78b2c9454,http://10.110.175.88:49152/summarize,completed,None,10552,85
453d5dcc-43c6-41d1-bbf8-5e386eaa5d00,text-summarization,60000,80,1,2024-06-21T21:58:59+05:30,0001-01-01T00:00:00Z,2024-06-21T21:59:01+05:30,2024-06-21T21:59:09+05:30,,v2dafa70f-0b33-41ef-9f12-a5f78b2c9454,http://10.110.175.88:49152/summarize,completed,None,9541,85
46373ab6-06e1-4416-aab2-4451420d4af7,text-summarization,60000,80,1,2024-06-21T21:59:00+05:30,0001-01-01T00:00:00Z,2024-06-21T21:59:01+05:30,2024-06-21T21:59:09+05:30,,v2dafa70f-0b33-41ef-9f12-a5f78b2c9454,http://10.110.175.88:49152/summarize,completed,None,8526,85
43cd46c2-ffb9-45ea-8242-8165a027069f,text-summarization,60000,80,1,2024-06-21T21:59:01+05:30,0001-01-01T00:00:00Z,2024-06-21T21:59:06+05:30,2024-06-21T21:59:12+05:30,,v2dafa70f-0b33-41ef-9f12-a5f78b2c9454,http://10.110.175.88:49152/summarize,completed,None,11203,85
02018b33-50a2-4ed0-973e-bf76f2a22367,text-summarization,60000,80,1,2024-06-21T21:59:05+05:30,0001-01-01T00:00:00Z,2024-06-21T21:59:06+05:30,2024-06-21T21:59:12+05:30,,v2dafa70f-0b33-41ef-9f12-a5f78b2c9454,http://10.110.175.88:49152/summarize,completed,None,7145,85
